# All lines that begin with # are a comment
# Vertices: Index, SquareX, SquareY
Vertices
0,1,9
1,3,1
2,9,2
3,5,0
4,6,2
5,2,3
6,9,4
7,7,9
8,7,5
9,1,7
10,4,8
11,1,8
12,4,1
13,1,5
14,0,2
15,5,7
16,2,4
17,5,4
18,6,6
19,1,5
20,6,8
21,0,6
22,8,7
23,0,1
24,1,2
25,7,8
26,5,5
27,5,3
28,7,5
29,7,4
30,7,7
31,5,6
32,2,0
33,6,1
34,1,8
35,3,2
36,0,8
37,7,8
38,0,6
39,0,2
40,6,6
41,8,5
42,1,5
43,8,5
44,2,1
45,2,1
46,2,8
47,2,5
48,8,2
49,8,7
50,2,0
51,5,0
52,2,5
53,5,6
54,2,6
55,1,6
56,5,4
57,4,9
58,7,3
59,1,1
60,4,4
61,5,7
62,1,2
63,3,4
64,9,5
65,7,4
66,2,8
67,0,8
68,4,1
69,0,9
70,4,1
71,8,4
72,3,1
73,1,7
74,9,2
75,3,0
76,9,8
77,2,9
78,9,3
79,9,1
80,6,8
81,7,9
82,9,0
83,6,4
84,0,2
85,5,0
86,5,1
87,6,2
88,6,8
89,9,6
90,4,0
91,6,3
92,4,7
93,3,6
94,7,8
95,8,8
96,2,9
97,8,6
98,6,1
99,4,4
100,5,4
101,8,7
102,6,6
103,0,4
104,5,9
105,7,7
106,0,0
107,1,1
108,2,1
109,5,5
110,9,3
111,4,5
112,7,1
113,7,8
114,0,5
115,3,1
116,2,4
117,5,8
118,0,2
119,4,6
120,0,6
121,6,7
122,1,5
123,5,5
124,8,4
125,6,9
126,3,9
127,4,0
128,2,4
129,5,5
130,0,5
131,4,5
132,0,7
133,3,9
134,7,2
135,9,1
136,1,5
137,7,1
138,2,8
139,7,8
140,0,5
141,0,5
142,5,6
143,1,2
144,9,4
145,7,2
146,6,3
147,3,0
148,5,5
149,7,1
150,5,5
151,3,2
152,7,4
153,6,6
154,7,5
155,4,9
156,6,5
157,6,3
158,9,1
159,1,0
160,4,2
161,8,9
162,9,8
163,4,8
164,4,9
165,3,1
166,6,4
167,2,9
168,8,6
169,0,2
170,0,5
171,6,0
172,4,2
173,3,6
174,8,5
175,6,4
176,8,8
177,7,2
178,4,3
179,2,3
180,0,8
181,3,4
182,4,3
183,6,5
184,3,1
185,5,8
186,4,7
187,6,8
188,3,0
189,4,2
190,3,8
191,0,3
192,6,9
193,6,6
194,3,1
195,3,2
196,6,4
197,0,5
198,9,8
199,8,9
200,7,4
201,9,1
202,9,8
203,4,9
204,1,9
205,6,5
206,6,0
207,2,2
208,8,6
209,0,4
210,3,5
211,4,2
212,6,4
213,6,0
214,0,4
215,8,8
216,2,3
217,6,2
218,2,9
219,2,4
220,0,8
221,3,4
222,1,3
223,1,4
224,4,1
225,3,2
226,0,2
227,5,5
228,6,2
229,9,9
230,7,4
231,3,4
232,3,5
233,9,3
234,2,2
235,3,5
236,3,5
237,3,6
238,1,5
239,7,4
240,6,1
241,0,9
242,5,7
243,1,1
244,4,6
245,2,3
246,3,9
247,4,1
248,5,0
249,6,5
250,8,1
251,5,4
252,1,0
253,5,3
254,0,2
255,5,0
256,1,7
257,0,2
258,4,5
259,4,7
260,4,8
261,6,1
262,9,0
263,8,7
264,3,5
265,1,1
266,3,6
267,3,6
268,3,2
269,0,5
270,7,3
271,1,9
272,6,7
273,3,0
274,7,0
275,6,3
276,8,5
277,5,8
278,0,1
279,3,2
280,0,2
281,9,9
282,9,6
283,1,3
284,5,2
285,5,0
286,4,2
287,2,0
288,1,1
289,2,8
290,1,8
291,4,0
292,8,5
293,6,6
294,0,3
295,0,6
296,1,1
297,1,1
298,6,4
299,3,2
300,2,5
301,9,9
302,7,2
303,0,3
304,1,2
305,6,7
306,7,6
307,1,4
308,6,4
309,4,5
310,1,6
311,3,6
312,4,2
313,3,1
314,9,2
315,1,7
316,9,2
317,9,3
318,2,0
319,7,9
320,2,9
321,2,5
322,0,0
323,2,0
324,3,8
325,3,8
326,0,2
327,8,1
328,6,2
329,3,5
330,2,1
331,0,6
332,9,7
333,9,5
334,4,7
335,9,6
336,6,6
337,2,8
338,7,6
339,0,2
340,3,2
341,5,0
342,1,1
343,6,8
344,5,8
345,9,7
346,0,5
347,4,3
348,2,9
349,2,5
350,9,0
351,3,0
352,7,4
353,5,4
354,1,3
355,8,9
356,5,9
357,4,5
358,6,0
359,0,2
360,7,7
361,5,7
362,4,4
363,2,9
364,5,8
365,6,4
366,6,0
367,6,5
368,4,4
369,4,8
370,0,1
371,2,8
372,7,9
373,3,1
374,0,4
375,1,3
376,5,7
377,8,8
378,1,9
379,4,8
380,4,7
381,2,5
382,5,4
383,0,4
384,5,4
385,0,4
386,8,5
387,9,8
388,7,8
389,0,4
390,0,7
391,2,0
392,5,8
393,6,4
394,8,5
395,8,8
396,0,8
397,9,7
398,1,3
399,7,8
400,4,9
401,6,2
402,8,8
403,9,8
404,5,2
405,5,4
406,1,4
407,6,4
408,9,7
409,5,3
410,8,9
411,5,7
412,0,0
413,8,1
414,4,6
415,3,2
416,4,6
417,3,2
418,4,9
419,9,9
420,8,2
421,3,3
422,9,9
423,8,7
424,8,7
425,5,7
426,7,0
427,5,2
428,5,9
429,6,8
430,8,0
431,3,0
432,8,0
433,8,8
434,0,3
435,7,0
436,2,3
437,0,3
438,3,1
439,3,1
440,9,7
441,7,6
442,2,2
443,1,0
444,6,1
445,3,6
446,6,6
447,6,6
448,3,4
449,2,1
450,6,0
451,9,5
452,7,1
453,9,6
454,0,5
455,2,6
456,9,1
457,4,1
458,6,7
459,4,1
460,5,8
461,4,5
462,1,8
463,6,5
464,4,0
465,8,7
466,1,7
467,7,6
468,9,6
469,8,4
470,7,5
471,2,8
472,4,0
473,0,2
474,0,4
475,6,8
476,3,1
477,6,3
478,7,2
479,2,7
480,5,5
481,2,1
482,1,5
483,7,6
484,3,3
485,7,5
486,9,4
487,4,1
488,6,0
489,3,3
490,3,2
491,9,7
492,6,3
493,4,6
494,4,1
495,2,2
496,7,2
497,6,8
498,6,3
499,2,9
# Edges: fromIndex, toIndex, edgeCost
Edges
0,2,14870
0,4,7928
0,12,10038
0,15,5101
0,20,5763
0,25,5935
0,30,8848
0,37,6258
0,38,3852
0,40,5861
0,41,10383
0,49,9123
0,54,3677
0,63,6797
0,64,11086
0,72,8072
0,73,2428
0,74,15243
0,82,12726
0,83,8728
0,88,4826
0,94,5719
0,95,8581
0,96,328
0,98,10063
0,105,6814
0,110,14719
0,112,13677
0,118,7042
0,119,5062
0,120,3610
0,121,5534
0,130,3712
0,142,5272
0,155,2536
0,159,12042
0,162,7927
0,164,3434
0,165,8787
0,173,4828
0,178,8807
0,187,6785
0,189,7714
0,190,3256
0,195,8075
0,199,8577
0,201,15818
0,203,2850
0,204,927
0,206,12183
0,221,5455
0,224,10562
0,234,9534
0,239,9280
0,240,10962
0,242,5182
0,259,3028
0,263,7973
0,265,8201
0,273,9758
0,277,3266
0,278,11358
0,280,9911
0,287,9229
0,312,8089
0,313,10302
0,315,3210
0,321,4292
0,322,12825
0,328,9816
0,333,9687
0,347,7498
0,357,4472
0,358,10109
0,368,5154
0,371,1294
0,372,7389
0,383,6009
0,384,5958
0,386,7756
0,393,7254
0,395,8136
0,397,8710
0,403,11231
0,404,10025
0,412,12441
0,414,4401
0,415,9336
0,418,2643
0,423,9507
0,426,15071
0,427,8870
0,435,11463
0,436,5767
0,439,9126
0,443,10268
0,446,8051
0,447,7779
0,448,5881
0,455,3213
0,457,11626
0,458,6993
0,469,11082
0,481,7861
0,482,4514
0,485,8803
1,18,6778
1,20,8549
1,22,9258
1,23,3884
1,25,9181
1,26,7917
1,31,5472
1,32,1559
1,43,9154
1,46,8561
1,49,9516
1,50,1499
1,60,4910
1,62,3352
1,64,7690
1,73,9928
1,76,10005
1,83,6077
1,88,8829
1,90,1823
1,99,4537
1,106,3247
1,108,1104
1,109,7462
1,114,6424
1,117,11165
1,120,6870
1,125,11165
1,127,1536
1,131,5225
