# Every line that begins with # is a comment
# File name format: graph_n_m.txt, where n: number of vertices and m: number of edges
# Landscape consists of 10 "squares" by 10 "squares" (like a chessboard), indexed from 0 through 9
# Each "square" is 100x100.
# Vertices: Index, SquareX, SquareY
Vertices
0,8,9
1,1,5
2,3,7
3,2,8
4,2,8
5,5,2
6,8,6
7,2,1
8,1,1
9,2,1
10,8,1
11,6,0
12,5,3
13,0,7
14,7,2
15,2,4
16,3,0
17,4,4
18,1,0
19,0,1
20,5,6
21,9,2
22,1,5
23,2,9
24,1,9
25,8,9
26,1,3
27,7,7
28,2,5
29,5,5
30,5,5
31,0,7
32,3,2
33,1,4
34,5,3
35,2,2
36,6,5
37,7,6
38,4,5
39,1,3
40,2,1
41,7,1
42,9,4
43,7,4
44,2,9
45,3,0
46,8,6
47,4,0
48,9,3
49,2,0
50,9,3
51,7,1
52,9,0
53,7,1
54,4,9
55,2,4
56,4,3
57,0,8
58,1,1
59,2,4
60,8,9
61,3,6
62,0,2
63,9,4
64,9,3
65,5,6
66,8,7
67,8,6
68,6,6
69,3,0
70,2,7
71,8,9
72,5,9
73,2,1
74,7,6
75,3,8
76,0,6
77,9,4
78,5,3
79,4,5
80,4,8
81,6,8
82,1,1
83,2,0
84,0,9
85,0,7
86,4,7
87,3,7
88,9,8
89,7,0
90,0,0
91,4,5
92,7,3
93,7,0
94,8,5
95,5,2
96,6,2
97,0,9
98,2,6
99,0,8
100,4,2
101,3,8
102,7,4
103,9,2
104,9,3
105,5,0
106,3,4
107,3,9
108,8,9
109,3,0
110,0,2
111,1,1
112,5,0
113,5,8
114,6,7
115,4,3
116,3,0
117,8,9
118,1,2
119,5,1
120,2,7
121,5,5
122,4,2
123,4,3
124,9,5
125,8,0
126,4,6
127,3,1
128,9,3
129,1,1
130,8,4
131,9,1
132,1,5
133,2,4
134,0,1
135,8,8
136,6,5
137,5,1
138,5,3
139,1,5
140,8,4
141,9,8
142,8,0
143,4,4
144,4,9
145,4,8
146,5,1
147,1,1
148,8,1
149,4,5
150,3,8
151,3,1
152,7,7
153,9,5
154,5,7
155,4,9
156,9,9
157,4,4
158,8,3
159,8,5
160,7,6
161,9,6
162,1,6
163,9,2
164,2,3
165,8,4
166,9,2
167,6,6
168,1,9
169,2,9
170,6,1
171,6,8
172,4,5
173,0,9
174,5,3
175,0,4
176,8,4
177,1,6
178,5,0
179,0,2
180,0,6
181,9,3
182,9,0
183,5,2
184,5,9
185,3,5
186,3,3
187,9,1
188,6,9
189,4,8
190,7,1
191,9,8
192,1,2
193,4,1
194,0,9
195,2,0
196,4,8
197,6,4
198,5,1
199,2,2
# Edges: fromIndex, toIndex, edgeCost
Edges
0,5,1345
0,14,745
0,20,427
0,23,551
0,26,1912
0,27,214
0,31,874
0,37,321
0,38,890
0,50,745
0,53,805
0,54,349
0,56,749
0,65,422
0,67,623
0,74,446
0,75,1052
0,82,1113
0,85,1220
0,93,1003
0,95,822
0,98,843
0,101,479
0,108,66
0,110,1972
0,120,1180
0,121,539
0,125,1069
0,127,1564
0,131,836
0,132,1610
0,134,1160
0,137,861
0,138,696
0,141,216
0,143,597
0,150,660
0,152,201
0,158,1123
0,163,727
0,165,947
0,176,561
0,180,1130
0,183,772
0,186,958
0,192,1232
0,199,1473
1,22,58
1,28,264
1,34,460
1,42,1017
1,49,512
1,51,789
1,54,624
1,70,268
1,72,767
1,74,1143
1,78,563
1,79,290
1,82,410
1,87,227
1,93,1020
1,98,165
1,100,467
1,120,224
1,121,391
1,122,435
1,135,748
1,147,409
1,150,659
1,152,687
1,154,968
1,168,442
1,176,971
1,177,141
1,178,604
1,179,383
1,195,660
1,197,657
1,199,467
2,8,903
2,12,480
2,14,1120
2,15,357
2,18,855
2,20,232
2,22,414
2,27,470
2,34,876
2,36,430
2,37,393
2,43,478
2,45,993
2,48,1021
2,55,468
2,75,85
2,93,1018
2,94,544
2,96,590
2,102,538
2,106,615
2,107,281
2,110,1167
2,111,798
2,112,698
2,122,878
2,123,417
2,127,619
2,128,686
2,130,641
2,137,705
2,139,332
2,142,922
2,148,1345
2,155,203
2,161,567
2,167,311
2,168,333
2,177,302
2,181,703
2,185,219
2,186,397
2,195,758
3,6,702
3,7,1322
3,14,1188
3,25,578
3,33,443
3,35,1092
3,37,488
3,39,576
3,40,659
3,49,747
3,51,1293
3,55,768
3,57,228
3,58,1093
3,62,597
3,65,302
3,69,838
3,70,103
3,73,744
3,76,307
3,77,1173
3,93,1205
3,105,856
3,117,1110
3,131,980
3,135,592
3,142,1370
3,146,799
3,152,981
3,153,1169
3,154,327
3,155,324
3,157,768
3,160,512
3,167,709
3,175,452
3,179,868
3,191,672
3,194,282
3,195,922
4,10,965
4,13,305
4,19,1100
4,27,530
4,32,1048
4,35,718
4,36,569
4,37,635
4,38,536
4,45,880
4,46,1111
4,70,159
4,71,686
4,80,373
4,89,1631
4,90,1337
4,92,1336
4,103,1125
4,110,690
4,115,534
4,123,555
4,126,354
4,132,309
4,134,1158
4,136,637
4,138,650
4,145,500
4,149,499
4,155,394
4,158,849
4,161,865
4,166,1038
4,170,1464
4,181,1103
4,182,1574
4,188,570
4,190,949
4,197,617
4,199,1181
5,12,214
5,15,424
5,16,358
5,20,448
5,22,735
5,26,503
5,32,331
5,33,512
5,55,447
5,56,234
5,59,800
5,77,705
5,80,1022
5,81,775
5,92,374
5,104,503
5,106,423
5,107,813
5,110,580
5,111,754
5,113,674
5,122,240
5,124,987
5,126,439
5,128,537
5,135,656
5,142,360
5,145,642
5,147,406
5,154,826
5,158,290
5,164,388
5,165,555
5,183,54
5,184,797
5,186,291
5,188,785
5,195,629
5,199,329
6,14,399
6,21,378
6,27,215
6,28,625
6,30,236
6,33,1120
6,36,153
6,38,706
6,44,679
6,49,1216
6,62,1008
6,69,690
6,70,934
6,80,588
6,83,793
6,86,458
6,90,1785
6,91,362
6,96,404
6,105,619
6,106,507
6,107,807
6,114,333
6,121,297
6,126,606
6,151,798
6,156,468
6,170,583
6,171,308
6,175,1192
6,182,586
6,186,799
6,188,420
6,196,588
6,197,224
6,199,678
7,10,996
7,12,604
7,18,52
7,19,247
7,21,1015
7,26,276
7,30,590
7,32,184
7,33,460
7,36,952
7,44,1034
7,46,1006
7,49,54
7,50,1171
7,51,491
7,55,303
7,59,483
7,61,554
7,62,418
7,109,277
7,112,382
7,113,774
7,114,734
7,132,426
7,140,1356
7,142,968
7,151,288
7,156,1523
7,157,429
7,159,1057
7,161,879
7,165,713
7,171,1249
7,173,970
7,192,297
7,193,243
7,195,138
7,196,769
8,9,88
8,13,724
8,22,597
8,24,924
8,25,1332
8,27,1401
8,30,674
8,37,1185
8,48,911
8,49,229
8,50,867
8,54,915
8,55,328
8,70,920
8,71,1778
8,93,609
8,99,757
8,103,1072
8,106,459
8,112,409
8,114,893
8,121,780
8,126,604
8,130,982
8,132,412
8,133,350
8,136,792
8,142,1184
8,144,1494
8,149,526
8,151,275
8,155,1004
8,163,861
8,164,236
8,165,1054
8,174,504
8,175,537
8,178,382
8,180,690
8,181,877
8,188,1596
8,194,834
9,15,448
9,17,533
9,18,36
9,29,705
9,40,118
9,49,45
9,50,841
9,53,632
9,59,382
9,61,605
9,63,910
9,78,357
9,96,437
9,104,860
9,107,856
9,114,824
9,116,167
9,117,1627
9,120,1008
9,122,520
9,126,985
9,130,792
9,133,316
9,135,1349
9,136,1119
9,141,1383
9,143,470
9,151,242
9,153,1703
9,155,864
9,157,538
9,177,595
9,178,520
9,192,242
9,194,972
9,195,91
9,196,754
9,199,142
10,13,978
10,22,741
10,42,351
10,48,256
10,56,552
10,57,1231
10,60,1169
10,69,449
10,73,515
10,81,1327
10,88,1246
10,93,147
10,100,485
10,104,229
10,107,945
10,109,493
10,110,915
10,115,434
10,116,456
10,123,396
10,132,1505
10,139,993
10,141,1045
10,156,1107
10,164,815
10,172,879
10,183,373
10,184,999
10,188,962
10,190,72
11,17,484
11,37,674
11,40,484
11,44,1074
11,50,439
11,58,546
11,74,678
11,76,905
11,78,315
11,81,853
11,91,604
11,97,1085
11,103,427
11,108,1024
11,112,141
11,117,905
11,120,860
11,127,353
11,130,889
11,132,803
11,137,230
11,138,313
11,140,425
11,144,1339
11,145,1061
11,146,118
11,150,877
11,151,312
11,152,1425
11,156,1565
11,161,807
11,163,442
11,168,1368
11,169,1116
11,171,821
11,172,614
11,174,504
11,177,962
11,178,173
11,179,780
11,184,1368
11,192,1060
11,194,1605
12,13,667
12,24,772
12,29,301
12,30,216
12,35,491
12,41,318
12,48,615
12,50,512
12,53,379
12,58,863
12,61,678
12,64,490
12,66,472
12,68,424
12,72,671
12,74,498
12,75,579
12,80,602
12,85,666
12,99,739
12,103,346
12,107,864
12,109,652
12,112,271
12,114,540
12,115,247
12,120,515
12,130,312
12,133,340
12,134,650
12,143,154
12,149,252
12,153,560
12,155,580
12,157,192
12,177,579
12,180,614
12,181,437
12,182,560
12,187,518
12,188,622
12,191,863
13,15,650
13,18,964
13,20,883
13,33,304
13,34,645
13,35,503
13,39,520
13,45,860
13,48,1120
13,49,806
13,50,1003
13,55,358
13,58,679
13,64,1042
13,66,1204
13,68,871
13,74,1054
13,75,330
13,79,849
13,85,44
13,92,1178
13,101,384
13,102,811
13,108,797
13,111,603
13,112,1019
13,120,230
13,124,1372
13,129,622
13,142,1093
13,143,522
13,147,945
13,148,1238
13,152,1029
13,157,508
13,159,899
13,163,1260
13,167,630
13,170,916
13,171,1059
13,180,146
13,185,632
13,186,739
13,187,1109
13,188,741
14,17,343
14,22,1053
14,24,1141
14,28,919
14,31,887
14,41,83
14,42,397
14,44,1170
14,53,148
14,58,896
14,65,504
14,66,965
14,70,1307
14,79,407
14,80,777
14,81,718
14,88,645
14,93,313
14,103,232
14,106,857
14,114,667
14,119,198
14,123,264
14,127,585
14,129,677
14,135,596
14,146,216
14,148,207
14,154,570
14,157,363
14,160,380
14,161,456
14,166,219
14,170,193
14,174,174
14,180,1470
14,182,313
14,187,296
14,194,1849
14,195,722
15,16,524
15,27,717
15,30,374
15,34,328
15,38,291
15,42,826
15,75,400
15,79,267
15,80,504
15,89,885
15,90,659
15,98,249
15,108,730
15,110,310
15,112,761
15,122,459
15,126,291
15,129,301
15,131,777
15,132,150
15,133,64
15,134,372
15,135,760
15,136,417
15,159,959
15,162,431
15,165,582
15,170,542
15,172,238
15,174,476
15,177,301
15,180,467
15,186,178
15,190,937
15,194,910
15,199,356
16,18,287
16,25,1463
16,30,605
16,33,527
16,40,266
16,48,670
16,55,450
16,63,938
16,86,1233
16,87,711
16,91,937
16,93,356
16,95,435
16,101,1066
16,103,576
16,106,427
16,107,935
16,108,1681
16,111,369
16,112,257
16,113,838
16,130,1182
16,133,655
16,134,439
16,142,661
16,160,783
16,173,1170
16,177,1215
16,181,829
16,182,709
16,186,668
16,188,1344
16,193,284
17,22,321
17,23,599
17,24,845
17,27,742
17,31,543
17,33,328
17,42,968
17,44,724
17,47,399
17,59,292
17,62,657
17,63,541
17,71,705
17,75,370
17,82,581
17,83,729
17,84,692
17,90,605
17,92,398
17,100,351
17,103,780
17,109,590
17,110,651
17,116,389
17,117,607
17,121,228
17,129,772
17,131,604
17,141,1237
17,150,685
17,159,920
17,160,498
17,166,943
17,167,276
17,168,594
17,182,778
17,183,245
17,187,940
17,192,371
17,193,343
18,23,866
18,26,279
18,28,602
18,40,180
18,47,270
18,52,816
18,62,319
18,65,699
18,68,715
18,76,746
18,101,1279
18,104,1279
18,105,400
18,106,642
18,129,77
18,148,902
18,152,915
18,161,945
18,172,519
18,176,770
18,185,962
18,188,1001
18,190,823
18,198,639
19,22,704
19,24,916
19,28,503
19,32,369
19,40,354
19,43,814
19,48,1641
19,49,319
19,52,993
19,53,1115
19,54,1748
19,57,795
19,63,1102
19,67,1148
19,69,359
19,73,313
19,83,258
19,84,817
19,108,1078
19,109,465
19,110,47
19,125,1205
19,129,123
19,135,1460
19,139,582
19,142,907
